"iso","treecover_loss__ha","treecover_loss__year"
"PNG",54575.5022028336,2002
"POL",31070.1397903704,2002
"PRI",1168.09577750767,2002
"PRK",5358.2272070265,2002
"PRT",34903.3491456331,2002
"PRY",195124.639773233,2002
"PSE",1.83028711454658,2002
"REU",502.668375234768,2002
"ROU",16356.4454512539,2002
"RUS",2700384.1538296,2002
"RWA",941.338718041567,2002
"SDN",76.100355817295,2002
"SEN",164.430554420471,2002
"SGP",123.516998996821,2002
"SLB",3866.10666760614,2002
"SLE",15310.2419718478,2002
"SLV",4666.50981707791,2002
"SMR",0.111479128940966,2002
"SOM",250.891330419836,2002
"SPM",0.105856562884116,2002
"SRB",1134.98908845479,2002
"SSD",8148.67982430063,2002
"SUR",3717.4775623942,2002
"SVK",4015.73250455756,2002
"SVN",723.872507830369,2002
"SWE",178264.080811754,2002
"SWZ",3800.76583825551,2002
"SXM",0.439427722647544,2002
"SYC",0.227775334198121,2002
"SYR",147.999194069988,2002
"TCA",4.65202651745474,2002
"TCD",1958.47582986404,2002
"TGO",2020.78548264056,2002
"THA",60882.1897366029,2002
"TJK",36.6391204861503,2002
"TKM",105.178740061973,2002
"TLS",1604.59889774521,2002
"TTO",726.077009342507,2002
"TUN",243.871738666118,2002
"TUR",25722.2214167894,2002
"TWN",1004.57402174448,2002
"TZA",85080.9008941805,2002
"UGA",10840.6968127111,2002
"UKR",27077.0197056109,2002
"UMI",6.50553305832537,2002
"URY",6870.11867034991,2002
"USA",2038435.6910358,2002
"UZB",265.231718812323,2002
"VCT",7.94599894895054,2002
"VEN",90372.3770765126,2002
"VGB",2.99644155633012,2002
"VIR",20.902833133086,2002
"VNM",49625.4378232228,2002
"VUT",108.239649613677,2002
"XAD",0.507202226736082,2002
"XCA",23.3939139644421,2002
"XKO",214.907882253912,2002
"XNC",3.34084741669905,2002
"ZAF",47679.9341415141,2002
"ZMB",46240.2436134392,2002
"ZWE",8016.17085072426,2002
