"iso","aboveground_biomass_loss__Mg","treecover_loss__ha","aboveground_co2_emissions__Mg","treecover_loss__year"
"FIN",13619829.769924317,167507.27917205318,24969687.91152792,2010
"FJI",532958.9412238131,2346.764318166228,977091.3922436571,2010
"FRA",23448665.96047031,143265.20964329445,42989220.92752893,2010
"FSM",20720.367841728585,76.66233752445753,37987.34104316907,2010
"GAB",2546997.5559759196,10674.183857781949,4669495.519289185,2010
"GBR",4739693.665466817,28469.225897018434,8689438.38668917,2010
"GEO",122417.70574324104,818.5918273546538,224432.46052927518,2010
"GGY",25.598988347359658,0.1511740321484289,46.93147863682603,2010
"GHA",2952065.212832066,19500.003674398482,5412119.556858789,2010
"GIN",2339588.2405835018,16045.58986952986,4289245.10773642,2010
"GLP",21617.644047928294,127.38589694608763,39632.34742120186,2010
"GMB",2045.7155203274542,23.827262735922755,3750.4784539336642,2010
"GNB",612340.7764490151,4900.406655505514,1122624.7568231942,2010
"GNQ",1547942.317026969,6592.942458960399,2837894.2478827764,2010
"GRC",786830.203230409,7785.29902006908,1442522.0392557501,2010
"GRD",36497.7944840065,159.5560714282115,66912.62322067855,2010
"GTM",10906298.531857692,59668.37394372541,19994880.641739093,2010
"GUF",1034140.3810770749,3205.635088307472,1895924.0319746367,2010
"GUY",2714789.0551927737,10098.885911537931,4977113.2678534165,2010
"HKG",2380.2056926878377,12.899144474896358,4363.710436594369,2010
"HND",8944170.064906076,46085.25513173528,16397645.118994474,2010
"HRV",611162.0985811276,3499.248261480737,1120463.847398734,2010
"HTI",298955.61324143846,2084.3611770955986,548085.2909426374,2010
"HUN",1699469.1985240327,11255.487859772531,3115693.530627393,2010
"IDN",293823979.3212025,1279331.974550827,538677295.4222038,2010
"IMN",7277.544940547098,49.956396423599614,13342.165724336348,2010
"IND",10838014.660734814,51317.106318436956,19869693.544680487,2010
"IRL",715291.9377206895,3854.6787514051666,1311368.5524879303,2010
"IRN",20671.47977625663,195.79006760784435,37897.71292313715,2010
"IRQ",1444.4133960550198,13.415441118876872,2648.0912261008707,2010
"ISR",8328.605531907246,89.07957604923196,15269.110141829948,2010
"ITA",1973564.3380529506,15806.376823076058,3618201.286430409,2010
"JAM",471989.9997431305,2364.9480667506677,865314.9995290725,2010
"JEY",1226.8480076198566,7.340422355249149,2249.22134730307,2010
"JOR",5.289817759013371,0.06530639208658483,9.697999224857845,2010
"JPN",6402967.06053692,35745.324726540464,11738772.944317691,2010
"KAZ",409068.8463159025,3108.915856366113,749959.5515791543,2010
"KEN",4185955.1298087747,22693.01006182529,7674251.071316086,2010
"KGZ",29548.104231676545,260.97381578613346,54171.52442474029,2010
"KHM",52361154.53766519,237881.91334788903,95995449.98571949,2010
"KNA",3603.760818383339,18.53841190995735,6606.894833702787,2010
"KOR",1823009.1989946533,14425.151523610471,3342183.5314901974,2010
"LAO",37003291.4675048,167107.9997513906,67839367.6904255,2010
"LBN",11620.620292429234,115.18064020305431,21304.47053612026,2010
"LBR",3800523.6559542776,20357.66583212658,6967626.702582845,2010
"LBY",827.9336036767451,9.41428543328191,1517.8782734073657,2010
"LCA",20706.01251064923,99.84201267664722,37961.02293619027,2010
"LIE",633.3770499908296,2.791921383349039,1161.1912583165208,2010
"LKA",990401.060036124,7230.756198983186,1815735.276732894,2010
"LSO",447.82187601900114,3.7727135400792244,821.0067727015021,2010
"LTU",2596106.134522559,21666.89043432203,4759527.913291358,2010
"LUX",193606.66938360018,880.4352557213981,354945.5605366003,2010
"LVA",5562470.941664293,48507.10998246113,10197863.393051201,2010
"MAC",,0.57116688867309,,2010
"MAF",82.38486002610752,0.5126170151497105,151.03891004786377,2010
"MAR",109825.59437381072,988.0770669791416,201346.92301865295,2010
"MDA",20341.204609254914,176.75113904259507,37292.20845030066,2010
"MDG",19111005.549946636,107218.89158343207,35036843.508235484,2010
"MDV",45.080215896302505,3.1357261456614003,82.6470624765546,2010
"MEX",22672780.890312362,166728.9134837289,41566764.965572655,2010
"MKD",341503.10490729916,2223.2150556074766,626089.0256633818,2010
"MLI",6929.293425034128,53.89056148898727,12703.704612562567,2010
"MLT",57.91013039984263,0.6260022333332977,106.16857239971148,2010
"MMR",36281725.934726454,169913.27516867546,66516497.546998546,2010
"MNE",35847.514117461054,210.93933395741794,65720.4425486786,2010
"MNG",770880.031121797,8764.403872903764,1413280.057056628,2010
"MOZ",26958094.631575238,194545.38567842744,49423173.491221264,2010
"MSR",23869.33858811894,109.30204099190519,43760.45407821805,2010
"MTQ",15811.856658530538,75.36671357432527,28988.403873972646,2010
"MUS",4879.465562810399,23.267468837083943,8945.6868651524,2010
"MWI",586901.0317906904,3981.955543033252,1075985.2249495985,2010
"MYS",102251260.78999688,430607.47900891,187460644.78166097,2010
"MYT",6677.783495487616,31.905129512033675,12242.60307506063,2010
"NAM",2038.8543713439667,26.965566484868923,3737.8996807972717,2010
"NCL",86969.28629296784,550.4216422365106,159443.6915371077,2010
"NGA",4559485.4697815385,32782.06424321441,8359056.694599486,2010
"NIC",44097396.281047955,212519.5892053753,80845226.51525457,2010
"NLD",547071.4183718126,3403.342056002899,1002964.2670149893,2010
"NOR",3648724.7704468397,40128.91059696716,6689328.745819207,2010
"NPL",579072.5245500416,2347.698600643969,1061632.961675076,2010
"NZL",10264554.374094103,56121.87427679254,18818349.685839176,2010
"PAK",112191.069910883,720.2208582092733,205683.62816995208,2010
"PAN",3435423.0485964837,15402.505934153774,6298275.589093553,2010
"PER",38434581.20582622,142324.14224610332,70463398.87734808,2010
"PHL",22780764.06951608,102649.43231558494,41764734.12744613,2010
"PLW",10161.842580899076,32.72961263830935,18630.04473164831,2010
"PNG",20195613.40412732,68761.27146652556,37025291.240900084,2010
"POL",9790946.81309661,71835.17455297761,17950069.15734379,2010
"PRI",119842.7549336468,595.2798261976304,219711.7173783524,2010
"PRK",2144661.787307496,19020.61973071705,3931879.943397077,2010
"PRT",6419877.348884068,48401.152835918234,11769775.139620794,2010
"PRY",31627251.475758735,442300.41440127825,57983294.37222434,2010
"PSE",127.30703352095804,1.3106598117840025,233.3962281217564,2010
"REU",46249.977813317084,223.36694534214158,84791.62599108131,2010
"ROU",3111654.4638123047,17781.76487092413,5704699.850322556,2010
"RUS",187842415.56740183,1859545.0725320126,344377761.87357014,2010
"RWA",335211.507538427,2449.7684972516254,614554.430487116,2010
"SDN",4901.390673258877,41.83875764753926,8985.882900974604,2010
"SEN",17607.939839013725,153.82539324722637,32281.223038191845,2010
"SGP",6562.828529017716,43.992596866554635,12031.852303199146,2010
"SLB",1567882.5685341463,6418.01787203086,2874451.3756459346,2010
"SLE",1379396.7403438294,8782.214514038047,2528894.023963687,2010
"SLV",460438.5961115536,2873.0177174614905,844137.4262045149,2010
"SOM",12346.430543755323,139.64642920485528,22635.12266355143,2010
"SRB",437621.4201139928,2461.8686852477904,802305.9368756532,2010
"SSD",435186.729333433,3879.410411294757,797842.3371112942,2010
"SUR",2206613.4040644253,7000.397415290403,4045457.907451445,2010
"SVK",3267415.0141183427,17103.91757366599,5990260.859216961,2010
"SVN",280854.32456176006,1433.9513534204707,514899.59502989333,2010
"SWE",22316057.942227867,263646.42090453365,40912772.894084424,2010
"SWZ",1412117.0070687076,6660.339482738284,2588881.179625964,2010
"SXM",29.956371510597258,0.21973067132377225,54.920014436094974,2010
"SYR",28059.45353425802,240.53296655350687,51442.33147947308,2010
"TCA",2405.650148101193,38.41868880470912,4410.358604852186,2010
"TCD",28157.139523473044,254.65247386244496,51621.42245970059,2010
"TGO",58702.94072203015,514.1051343826527,107622.0579903886,2010
"THA",29134758.544627804,134984.30930408294,53413723.99848435,2010
"TJK",1174.0450436979825,10.85788964822728,2152.415913446301,2010
"TKM",1002.3252851092702,8.873221635651252,1837.596356033662,2010
"TLS",149732.6810430159,649.0107168769117,274509.91524552915,2010
"TTO",707529.0412823004,3406.8333910215115,1297136.5756842173,2010
"TUN",48575.93728232577,398.0397191572474,89055.88501759723,2010
"TUR",1873051.5316411587,17007.96514332141,3433927.808008792,2010
"TWN",579390.2088451299,2459.821988962324,1062215.382882738,2010
"TZA",18561346.150957234,138486.41051633685,34029134.61008827,2010
"UGA",6831877.425360093,34149.41893366009,12525108.613160167,2010
"UKR",7543149.182733554,52441.05515138128,13829106.835011512,2010
"URY",1862672.3069659374,17826.26894073293,3414899.22943755,2010
"USA",292631627.308832,2167662.1883133273,536491316.7328588,2010
"UZB",3592.639276793545,31.924242793478413,6586.505340788166,2010
"VCT",14409.999941297618,65.79194186817466,26418.33322571229,2010
"VEN",17598714.008744467,101285.58210302929,32264309.016031496,2010
"VGB",725.8291446820605,3.9462251163864943,1330.6867652504443,2010
"VIR",3169.4736389666996,21.344954114125226,5810.701671438948,2010
"VNM",37610317.81089279,174256.19388176786,68952249.31997013,2010
"VUT",66551.64798906841,307.6289116536784,122011.3546466254,2010
"XAD",14.490920222655426,0.1271133352864511,26.56668707486828,2010
"XCA",1374.8145002219337,21.922829452570888,2520.4932504068784,2010
"XKO",85988.92439030524,468.2772285893838,157646.36138222626,2010
"XNC",996.3952177408296,9.773423312371872,1826.7245658581876,2010
"ZAF",13174607.195401318,61758.75127048162,24153446.524902422,2010
"ZMB",27885533.488342132,173983.63229596269,51123478.06196058,2010
"ZWE",840261.1134776603,6635.298410116792,1540478.7080423774,2010
"AFG",15454.080301613043,112.95506217913294,28332.480552957248,2011
"AGO",22345065.18146857,182927.91545020885,40965952.832692355,2011
"AIA",77.20804752510088,1.0245627840591864,141.5480871293516,2011
"ALA",42129.04345121106,465.8224431235224,77236.57966055357,2011
"ALB",162364.65526359377,1188.2481956630875,297668.5346499218,2011
"AND",169.39607914022616,0.913257606106946,310.559478423748,2011
"ARG",34102609.23270008,499187.17766934936,62521450.25995018,2011
"ARM",24385.004880820183,173.98857449846196,44705.842281503676,2011
"ATG",3404.1321460529234,25.83647597345754,6240.908934430361,2011
